-30.17,9.83,-3.99
-30.17,9.83,-3.99
-30.17,9.83,-3.99
-31.62,12.73,-4.68
-31.62,12.73,-4.68
-31.62,12.73,-4.68
-31.62,12.73,-4.68
-31.62,12.73,-4.68
-31.26,20.33,-3.99
-31.98,23.59,-5.38
-31.98,23.59,-5.38
-31.98,23.59,-5.38
-31.98,23.59,-5.38
-31.98,23.59,-5.38
-29.27,28.11,-3.81
-29.27,28.11,-3.81
-29.27,28.11,-3.81
-29.27,28.11,-3.81
-29.27,28.11,-3.81
-25.48,32.63,-6.07
-25.48,32.63,-6.07
-25.48,32.63,-6.07
-25.48,32.63,-6.07
-25.48,32.63,-6.07
-25.48,32.63,-6.07
-25.48,32.63,-6.07
-25.48,32.63,-6.07
-25.48,32.63,-6.07
-25.48,32.63,-6.07
-25.48,32.63,-6.07
-17.91,40.96,-6.77
-17.91,40.96,-6.77
-17.91,40.96,-6.77
-17.91,40.96,-6.77
-17.91,40.96,-6.77
-17.91,40.96,-6.77
-13.58,42.05,-7.12
-13.58,42.05,-7.12
-13.58,42.05,-7.12
-13.58,42.05,-7.12
-13.58,42.05,-7.12
-13.76,43.31,-6.25
-13.76,43.31,-6.25
-13.76,43.31,-6.25
-13.76,43.31,-6.25
-13.76,43.31,-6.25
-14.12,42.23,-7.64
-14.12,42.23,-7.64
-14.12,42.23,-7.64
-14.12,42.23,-7.64
-14.12,42.23,-7.64
-8.53,43.49,-7.46
-4.92,44.58,-6.42
-4.92,44.58,-6.42
-4.92,44.58,-6.42
-4.92,44.58,-6.42
-4.92,44.58,-6.42
3.92,44.4,-6.25
3.92,44.4,-6.25
3.92,44.4,-6.25
3.92,44.4,-6.25
3.92,44.4,-6.25
-3.84,43.49,-6.77
-3.84,43.49,-6.77
-3.84,43.49,-6.77
-3.84,43.49,-6.77
-3.84,43.49,-6.77
-3.84,43.49,-6.77
-3.84,43.49,-6.77
-3.84,43.49,-6.77
-3.84,43.49,-6.77
-3.84,43.49,-6.77
-3.84,43.49,-6.77
-31.26,23.22,-6.42
-31.26,23.22,-6.42
-31.26,23.22,-6.42
-31.26,23.22,-6.42
-31.26,23.22,-6.42
-31.26,23.22,-6.42
-29.45,5.13,-6.42
-29.45,5.13,-6.42
-29.45,5.13,-6.42
-29.45,5.13,-6.42
-29.45,5.13,-6.42
-24.94,-5.55,-5.55
-24.94,-5.55,-5.55
-24.94,-5.55,-5.55
-24.94,-5.55,-5.55
-24.94,-5.55,-5.55
-17.55,-10.8,-5.03
-17.55,-10.8,-5.03
-17.55,-10.8,-5.03
-17.55,-10.8,-5.03
-17.55,-10.8,-5.03
1.76,-15.69,-6.25
1.76,-15.69,-6.25
1.76,-15.69,-6.25
1.76,-15.69,-6.25
1.76,-15.69,-6.25
1.76,-15.69,-6.25
18.53,-8.27,-5.03
18.53,-8.27,-5.03
18.53,-8.27,-5.03
18.53,-8.27,-5.03
18.53,-8.27,-5.03
18.53,-8.27,-5.03
18.53,-8.27,-5.03
18.53,-8.27,-5.03
18.53,-8.27,-5.03
18.53,-8.27,-5.03
18.53,-8.27,-5.03
28.46,4.22,-4.16
28.46,4.22,-4.16
28.46,4.22,-4.16
28.46,4.22,-4.16
28.46,4.22,-4.16
29.54,14.36,-5.55
28.09,16.17,-5.9
28.09,16.17,-5.9
28.09,16.17,-5.9
28.09,16.17,-5.9
28.09,16.17,-5.9
29.18,18.7,-5.2
29.18,18.7,-5.2
29.18,18.7,-5.2
29.18,18.7,-5.2
29.18,18.7,-5.2
28.64,19.97,-5.73
28.64,19.97,-5.73
28.64,19.97,-5.73
28.64,19.97,-5.73
28.64,19.97,-5.73
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
30.44,14.17,-5.03
-21.33,-7.0,-5.2
-21.33,-7.0,-5.2
-21.33,-7.0,-5.2
-21.33,-7.0,-5.2
-21.33,-7.0,-5.2
-32.16,8.56,-3.81
-32.16,8.56,-3.81
-32.16,8.56,-3.81
-32.16,8.56,-3.81
-32.16,8.56,-3.81
-31.98,24.67,-4.68
-31.98,24.67,-4.68
-31.98,24.67,-4.68
-31.98,24.67,-4.68
-31.98,24.67,-4.68
-31.98,24.67,-4.68
-23.5,36.07,-6.25
-23.5,36.07,-6.25
-23.5,36.07,-6.25
-23.5,36.07,-6.25
-23.5,36.07,-6.25
-14.84,43.67,-5.9
-14.84,43.67,-5.9
-14.84,43.67,-5.9
-14.84,43.67,-5.9
-14.84,43.67,-5.9
-14.84,43.67,-5.9
-14.84,43.67,-5.9
-14.84,43.67,-5.9
-14.84,43.67,-5.9
-14.84,43.67,-5.9
-14.84,43.67,-5.9
-20.61,24.13,14.28
-20.61,24.13,14.28
-20.61,24.13,14.28
-20.61,24.13,14.28
-20.61,24.13,14.28
-20.61,24.13,14.28
-20.61,22.32,14.28
-20.61,22.32,14.28
-20.61,22.32,14.28
-20.61,22.32,14.28
-20.61,22.32,14.28
-19.89,23.4,13.93
-19.89,23.4,13.93
-19.89,23.4,13.93
-19.89,23.4,13.93
-19.89,23.4,13.93
-20.25,21.96,14.28
-20.25,21.96,14.28
-20.25,21.96,14.28
-20.25,21.96,14.28
-20.25,21.96,14.28
-21.51,28.29,12.71
-21.51,28.29,12.71
-21.51,28.29,12.71
-21.51,28.29,12.71
-21.51,28.29,12.71
-21.51,28.29,12.71
-20.97,40.42,-5.9
-20.97,40.42,-5.9
-20.97,40.42,-5.9
-20.97,40.42,-5.9
-20.97,40.42,-5.9
-15.74,33.0,-28.34
-15.74,33.0,-28.34
-15.74,33.0,-28.34
-15.74,33.0,-28.34
-15.74,33.0,-28.34
-15.74,33.0,-28.34
-15.74,33.0,-28.34
-15.74,33.0,-28.34
-15.74,33.0,-28.34
-15.74,33.0,-28.34
-15.74,33.0,-28.34
-15.38,34.44,-26.6
-15.38,34.44,-26.6
-15.38,34.44,-26.6
-15.38,34.44,-26.6
-15.38,34.44,-26.6
-15.38,34.44,-26.6
-17.18,40.96,-21.03
-17.18,40.96,-21.03
-17.18,40.96,-21.03
-17.18,40.96,-21.03
-17.18,40.96,-21.03
-20.79,41.68,-8.51
-20.79,41.68,-8.51
-20.79,41.68,-8.51
-20.79,41.68,-8.51
-20.79,41.68,-8.51
-20.79,39.87,-7.12
-20.79,39.87,-7.12
-20.79,39.87,-7.12
-20.79,39.87,-7.12
-20.79,39.87,-7.12
-22.6,40.6,-6.77
-22.6,40.6,-6.77
-22.6,40.6,-6.77
-22.6,40.6,-6.77
-22.6,40.6,-6.77
-22.6,40.6,-6.77
-24.76,39.51,-5.38
-24.76,39.51,-5.38
-24.76,39.51,-5.38
-24.76,39.51,-5.38
-24.76,39.51,-5.38
-23.14,39.69,-6.25
-23.14,39.69,-6.25
-23.14,39.69,-6.25
-23.14,39.69,-6.25
-23.14,39.69,-6.25
-23.14,39.69,-6.25
-23.14,39.69,-6.25
-23.14,39.69,-6.25
-23.14,39.69,-6.25
-23.14,39.69,-6.25
-23.14,39.69,-6.25
-26.2,33.36,-3.99
-26.2,33.36,-3.99
-26.2,33.36,-3.99
-26.2,33.36,-3.99
-26.2,33.36,-3.99
-26.2,33.36,-3.99
-26.75,31.01,-4.16
-26.75,31.01,-4.16
-26.75,31.01,-4.16
-26.75,31.01,-4.16
-26.75,31.01,-4.16
-28.37,31.91,-5.03
-28.37,31.91,-5.03
-28.37,31.91,-5.03
-28.37,31.91,-5.03
-28.37,31.91,-5.03
-27.29,31.55,-4.68
-27.29,31.55,-4.68
-27.29,31.55,-4.68
-27.29,31.55,-4.68
-27.29,31.55,-4.68
-29.09,32.27,-5.03
-29.09,32.27,-5.03
-29.09,32.27,-5.03
-29.09,32.27,-5.03
-29.09,32.27,-5.03
-29.09,32.27,-5.03
-28.19,31.73,-4.51
-28.19,31.73,-4.51
-28.19,31.73,-4.51
-28.19,31.73,-4.51
-28.19,31.73,-4.51
-28.19,31.73,-4.51
